doc_index,title,n_sentences,main_topic,main_prob
140,庆祝中华人民共和国成立76周年招待会在京举行 习近平发表重要讲话,1,2,0.9859
144,全国政协办公厅、中共中央统战部、国务院侨办、国务院港澳办、国务院台办、中国侨联联合举行国庆招待会,2,2,0.8508
154,共绘文化和科技融合发展新图景,1,4,0.5691
158,助力“高原水乡”农业提质升级（共创繁荣发展新时代）,1,1,0.629
159,用党的创新理论改造主观世界和客观世界（深入学习贯彻习近平新时代中国特色社会主义思想）,21,2,0.4811
164,建构中国自主的国际关系知识体系（深入学习贯彻习近平新时代中国特色社会主义思想·访谈录）,6,3,0.638
166,“为世界多极化发展提供了新思路”,1,1,0.9834
169,《习近平谈治国理政》第五卷出版座谈会发言摘编,21,2,0.9372
170,新时代中国推进妇女全面发展的实践与成就,12,4,0.999
173,汇聚各方力量 共建繁荣丝路,1,4,0.6454
177,“人类和平与发展的崇高事业必将胜利！”,2,4,0.9952
178,中华民族伟大复兴势不可挡,16,2,0.6646
183,深入学习《习近平谈治国理政》 自觉做新时代党的创新理论的坚定信仰者和忠实实践者,5,2,0.9982
190,以人民之心为心、以天下之利为利,1,1,0.9872
191,韩正会见出席第22届中国—东盟博览会的东盟国家领导人,1,1,0.9733
195,名副其实的中流砥柱,1,2,0.5835
200,赓续红色血脉 谱写气象华章,4,4,0.7774
203,把握马克思主义的七大生命力（深入学习贯彻习近平新时代中国特色社会主义思想）,12,2,0.6398
204,世界经济增长的主要贡献者和稳定锚,1,4,0.9758
211,为强国建设、民族复兴伟业贡献智慧和力量,2,2,0.5039
215,为强国建设、民族复兴伟业贡献智慧和力量,2,2,0.504
216,弘扬“上海精神” 携手迈向人类命运共同体（深入学习贯彻习近平新时代中国特色社会主义思想）,1,4,0.9826
218,推动人类发展巨轮驶向更加光明的未来（大使随笔·以史为鉴 共护和平）,1,2,0.8709
220,传承弘扬伟大抗战精神 汇聚团结奋斗磅礴力量,3,2,0.9975
225,《习近平关于妇女儿童和妇联工作论述摘编》《习近平关于注重家庭家教家风建设论述摘编》英文版出版发行,1,4,0.9883
226,“中国永远是世界的和平力量、稳定力量、进步力量”,1,1,0.9191
231,俄罗斯总统普京会见李鸿忠,1,1,0.9804
235,铭记伟大历史 开创美好未来,1,3,0.5605
236,习近平总书记同亿万人民共筑新的家国记忆,5,3,0.6478
237,习近平引领中国和平发展的时代启示,2,4,0.9864
238,记者手记丨我们在阅兵现场 见证盛世荣光,1,0,0.4374
239,赵乐际分别会见塞尔维亚总统武契奇、越南国家主席梁强、韩国国会议长禹元植,1,1,0.9864
241,中华人民共和国政府和巴基斯坦伊斯兰共和国政府关于构建新时代更加紧密的中巴命运共同体行动计划（2025—2029年）,1,1,0.9845
243,向着新的伟大胜利，前进！,3,4,0.9888
244,中华人民共和国和古巴共和国关于加快构建中古命运共同体的联合声明,3,1,0.7991
245,弘扬伟大抗战精神 奋进中国式现代化新征程,1,0,0.9869
248,习近平同朝鲜劳动党总书记、国务委员长金正恩举行会谈,1,0,0.9795
256,捍卫全人类和平事业与文明成果,1,4,0.6881
260,“为中华民族伟大复兴提供精神动力”（高端访谈）,1,1,0.9855
261,领航强军，从胜利走向胜利,7,0,0.9966
262,开创人类更加美好的未来,1,2,0.7367
263,中华民族伟大复兴势不可挡,2,2,0.9946
265,在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会上的讲话,1,2,0.6705
267,纪念中国人民抗日战争暨世界反法西斯战争胜利80周年文艺晚会《正义必胜》在京隆重举行,1,2,0.7124
268,纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会在京隆重举行,2,0,0.996
271,纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会在京隆重举行 习近平发表重要讲话并检阅受阅部队,2,0,0.996
272,习近平：在纪念中国人民抗日战争暨世界反法西斯战争胜利80周年大会上的讲话,1,2,0.6705
276,中流砥柱赋,1,2,0.9851
279,赓续光荣传统 谱写友谊新篇（大使随笔·以史为鉴 共护和平）,3,1,0.8793
283,从伟大胜利中汲取奋勇前进的力量（社论）,1,0,0.846
284,践行全球治理倡议，推进全球治理体系变革,1,1,0.9785
287,习近平同俄罗斯总统普京会谈,1,1,0.9697
292,习近平同俄罗斯总统普京会谈,1,1,0.9697
296,推动构建更加公正合理的全球治理体系（和音）,1,1,0.76
301,正义必胜 和平必胜 人民必胜,2,2,0.6655
322,搭建人文交流之桥 共谱和合共生之歌（弘扬“上海精神”：上合组织在行动）,2,3,0.4691
325,坚持和平发展 推动构建人类命运共同体,1,1,0.668
327,为了“上合大家庭”更加美好的未来,1,1,0.9891
328,中办转发《中央宣传部、中央组织部关于认真组织学习〈习近平谈治国理政〉第五卷的通知》,8,2,0.9992
329,中共中央办公厅转发《中央宣传部、中央组织部关于认真组织学习〈习近平谈治国理政〉第五卷的通知》,8,2,0.9992
340,26位外国国家元首和政府首脑将出席纪念活动,2,4,0.9949
341,弘扬伟大抗战精神，总书记这样身体力行,4,2,0.9965
342,弘扬伟大抗战精神，总书记这样身体力行,4,2,0.9965
344,26位外国国家元首和政府首脑将出席纪念活动,2,4,0.9949
350,学好用好《习近平生态文明文选》 建设人与自然和谐共生的美丽中国,1,3,0.9936
351,学好用好《习近平生态文明文选》 建设人与自然和谐共生的美丽中国,1,3,0.9936
352,深入开展中国人民抗日战争研究必须坚持正确历史观（深入学习贯彻习近平新时代中国特色社会主义思想）,2,2,0.5646
353,全军纪念中国人民抗日战争暨世界反法西斯战争胜利80周年学术研讨会举行,2,0,0.9917
359,赵乐际同俄罗斯国家杜马主席沃洛金共同主持中俄议会合作委员会第十次会议,4,1,0.863
360,全球安全倡议：建构新型安全理论的整体图景（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,3,1,0.9953
361,为持久和平的未来贡献新时代中国青年力量（专题深思）,5,1,0.5789
364,习近平将出席2025年上海合作组织峰会并举行有关活动,1,1,0.6852
368,六词读懂绿水青山就是金山银山理念的世界影响,2,0,0.9862
371,六词读懂绿水青山就是金山银山理念的实践伟力,5,0,0.6927
373,习近平同志《论坚持全面深化改革》第二卷主要篇目介绍,22,2,0.9995
375,在血与火中凝结深厚友谊,1,4,0.7069
376,“两山”理念改变中国引领时代,2,3,0.5355
379,从“两山”理念与实践看中国与世界,9,3,0.8463
385,绘就美丽中国画卷 推动生态文明建设再上新台阶,3,3,0.5784
386,更好保护城市独特的历史文脉（专题深思）,2,3,0.6046
387,“携手开创这个星球更加美好的未来”,1,4,0.9856
389,“绿水青山就是金山银山理念的世界意义”专题研讨会召开,1,3,0.9906
390,赵乐际出席第六次世界议长大会并发言,1,1,0.9785
391,热烈庆祝中国人民解放军建军98周年,1,2,0.9886
392,《习近平谈治国理政》第五卷中英文版出版发行,4,2,0.9987
394,《习近平谈治国理政》第五卷中英文版出版发行,4,2,0.9987
399,为和平发展贡献青春力量（今日谈）,1,1,0.795
401,一部为强国建设、民族复兴伟业筑牢国家安全屏障的良法,3,2,0.5875
410,海南自贸港成形起势，开放中国的生动缩影（和音）,3,4,0.8501
420,全球发展倡议推动人类发展理论和实践转型与创新（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,1,3,0.5872
423,坚定不移推进高水平对外开放,2,2,0.7528
425,弘扬社会主义法治精神的重大意义和实践要求（深入学习贯彻习近平新时代中国特色社会主义思想·习近平法治思想学习贯彻众论）,4,0,0.7965
427,全球文明对话部长级会议行动计划清单,1,4,0.9992
430,以习近平外交思想为引领推进新时代民间外交理论与实践发展（深入学习贯彻习近平新时代中国特色社会主义思想）,12,3,0.9992
433,加快建构中国自主的财政知识体系（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,2,0,0.994
439,纪念全民族抗战爆发88周年仪式暨《为了民族解放与世界和平》主题展览开幕式在京举行,1,2,0.9009
440,《习近平生态文明文选》第一卷主要篇目介绍,6,3,0.9985
444,在充满光荣和梦想的新征程上书写为中国式现代化挺膺担当的青春篇章,12,1,0.6759
449,“有感召力、影响力、生命力的理念”,1,1,0.8526
451,深刻理解把握“中国—中亚精神”的宏阔内涵和时代价值（深入学习贯彻习近平新时代中国特色社会主义思想）,1,4,0.9856
452,携手构建更加紧密的中国—中亚命运共同体（深入学习贯彻习近平新时代中国特色社会主义思想）,2,4,0.9927
465,李强分别会见厄瓜多尔总统诺沃亚、吉尔吉斯斯坦总理卡瑟马利耶夫、越南总理范明政,2,3,0.6727
466,以中国特色大国外交推动构建新型国际关系（深入学习贯彻习近平新时代中国特色社会主义思想）,2,1,0.7645
467,以中国特色大国外交推动构建新型国际关系（深入学习贯彻习近平新时代中国特色社会主义思想）,2,1,0.7645
471,凝众志者成其远,2,3,0.6152
473,“和睦与团结就是幸福与财富”,5,4,0.7307
475,坚定不移建设开放型世界经济（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,1,1,0.7236
476,以实际行动弘扬“中国—中亚精神”,1,4,0.9909
477,弘扬中国—中亚精神，致力永久睦邻友好,2,1,0.6793
478,弘扬“中国—中亚精神” 推动地区合作高质量发展,1,4,0.9798
479,习近平出席第二届中国—中亚峰会并作主旨发言,2,4,0.9912
482,走出更加宽广的合作共赢之路（大使随笔）,1,3,0.9743
486,携手并进 再启新程（大使随笔）,1,4,0.5782
487,擘画中国中亚关系发展新蓝图（和音）,1,3,0.9821
488,协力推动中国中亚现代化进程,2,3,0.7408
489,深刻理解把握新的文化生命体生成的三重维度（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,6,3,0.5352
490,团结合作，共逐现代化之梦（和音）,1,1,0.9922
491,中非维护全球南方团结合作的长沙宣言,3,1,0.9287
492,习近平同刚果（布）总统萨苏分别向中非合作论坛成果落实协调人部长级会议致贺信,3,1,0.9968
493,习近平同刚果（布）总统萨苏分别向中非合作论坛成果落实协调人部长级会议致贺信,3,1,0.9968
509,加快建设教育强国,7,3,0.998
511,全面准确认识新发展理念的理论贡献和实践价值（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,5,0,0.9977
517,李强会见柬埔寨首相洪玛奈,1,1,0.8987
518,统筹“两件大事” 续写“两大奇迹”,5,1,0.9064
519,深刻领悟习近平法治思想的法理内涵和原创性贡献（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,3,0,0.5673
521,文化瑰宝，迎来系统性保护（推进文化自信自强）,1,3,0.9833
522,促进文化交流 推动务实合作,1,1,0.8361
524,助力青少年成长成才 为推进中国式现代化贡献力量,11,3,0.9985
527,深入推进周边命运共同体建设（深入学习贯彻习近平新时代中国特色社会主义思想）,6,4,0.7658
528,深入推进周边命运共同体建设（深入学习贯彻习近平新时代中国特色社会主义思想）,6,4,0.7658
529,“一位‘开路架桥’的领导人”（大道之行）,1,1,0.982
533,深刻理解维护二战胜利成果和战后国际秩序的时代意义（深入学习贯彻习近平新时代中国特色社会主义思想）,1,2,0.4985
534,深刻理解维护二战胜利成果和战后国际秩序的时代意义（深入学习贯彻习近平新时代中国特色社会主义思想）,1,2,0.4985
540,共商共建共享的全球治理观的理论贡献与实践价值（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,3,1,0.7177
547,践行自由贸易理念，为全球发展注入确定性和稳定性,1,4,0.5636
549,习近平经济思想的话语体系、理论创新和科学方法论（深学笃行阐释习近平经济思想）,11,0,0.7208
555,有关部门负责人就《新时代的中国国家安全》白皮书答记者问,7,1,0.9982
556,新时代的中国国家安全,30,1,0.8243
557,发布《新时代的中国国家安全》白皮书,4,1,0.998
558,“不为一时一事所惑，不为风高浪急所扰”,6,1,0.7842
559,共商中俄合作大计 维护国际公平正义,1,1,0.759
561,铁肩担道义，历史鉴未来,2,1,0.8636
563,习近平会见塞尔维亚总统武契奇,1,1,0.7242
565,中华人民共和国和俄罗斯联邦关于进一步加强合作维护国际法权威的联合声明,2,1,0.686
566,中华人民共和国和俄罗斯联邦在纪念中国人民抗日战争、苏联伟大卫国战争胜利和联合国成立80周年之际关于进一步深化中俄新时代全面战略协作伙伴关系的联合声明,2,1,0.9929
568,大力推动我国人工智能大模型发展（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,1,3,0.7945
569,不断续写俄中友谊新篇章,1,1,0.9804
570,持续巩固和深化新时代俄中关系（国际论坛）,1,1,0.9872
571,携手为人类前途命运争取更加光明的未来,1,1,0.77
573,习近平向“和平薪火 时代新章——纪念中国人民抗日战争和苏联伟大卫国战争胜利80周年中俄人文交流活动”致贺信,1,1,0.9913
574,把伟大胜利永远铭刻在人类正义事业史册上,1,0,0.6022
576,共襄和平伟业 续谱友谊新篇（大使随笔）,1,4,0.9826
578,丰富中俄战略协作内涵 坚定弘扬正确二战史观,2,1,0.9919
579,引领新时代中俄关系坚毅前行（和音）,1,1,0.7271
580,共同实现各自国家发展振兴 携手维护世界公平正义,1,1,0.9879
584,大国应有的样子,2,1,0.9935
591,以习近平经济思想为指引加快构建中国经济学自主知识体系（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,14,0,0.8826
594,携手合作，助力海洋可持续发展,1,4,0.6644
599,中华人民共和国和肯尼亚共和国关于打造新时代全天候中非命运共同体典范的联合声明,5,1,0.8865
606,李强分别会见阿塞拜疆总统阿利耶夫、肯尼亚总统鲁托,1,1,0.9934
608,对中国经济学自主知识体系的创造性探索（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,9,0,0.9992
613,深刻理解新形势下中国周边工作的理念与行动（深入学习贯彻习近平新时代中国特色社会主义思想）,4,4,0.9963
614,构建周边命运共同体 携手开创亚洲新未来（深入学习贯彻习近平新时代中国特色社会主义思想）,3,1,0.997
615,构建周边命运共同体 携手开创亚洲新未来（深入学习贯彻习近平新时代中国特色社会主义思想）,3,1,0.9274
616,深刻理解新形势下中国周边工作的理念与行动（深入学习贯彻习近平新时代中国特色社会主义思想）,4,4,0.9963
618,推动柬中命运共同体建设百尺竿头更进一步,9,1,0.9983
619,“站在亚洲实现整体振兴的新起点上”,3,1,0.9927
620,中华人民共和国和柬埔寨王国关于构建新时代全天候中柬命运共同体、落实三大全球倡议的联合声明,5,1,0.9985
621,携手构建新时代全天候中柬命运共同体（和音）,6,1,0.9982
622,亲诚惠容行大道，命运与共开新篇,4,1,0.9961
623,充分释放“工程师红利”（评论员观察）,1,3,0.8963
624,为中柬各领域合作指明方向、注入信心,4,1,0.9968
625,中华人民共和国和马来西亚关于构建高水平战略性中马命运共同体的联合声明,3,1,0.5671
627,习近平会见柬埔寨人民党主席、参议院主席洪森,1,1,0.9872
628,习近平同柬埔寨首相洪玛奈举行会谈,4,1,0.9969
629,习近平会见柬埔寨国王西哈莫尼,1,1,0.6821
633,让中柬友好合作结出更加丰硕的成果（大使随笔）,1,1,0.982
636,大道之行丨这枚勋章背后的“铁杆”友谊,1,1,0.9733
637,深刻理解全人类共同价值的原理性贡献（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,2,3,0.7142
638,赓续传统友谊，汇聚中越友好的滔滔大河,2,1,0.9945
640,中华人民共和国和越南社会主义共和国关于持续深化全面战略合作伙伴关系、加快构建具有战略意义的中越命运共同体的联合声明,2,1,0.4341
642,习近平会见越南国家主席梁强,1,0,0.9655
646,习近平会见越南国家主席梁强,1,0,0.9655
649,深入把握中国特色社会主义法治体系的原创性贡献（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,4,0,0.629
653,为构建中柬命运共同体贡献媒体力量,1,1,0.6336
654,志同道合携手前行 继往开来续写新篇,1,1,0.6124
655,高水平参与大阪世博会 推动构建人与自然生命共同体,3,3,0.4502
656,平视世界，自信自强（青年观察）,1,0,0.7978
658,深入推进周边命运共同体建设,2,1,0.8807
659,谱写推动构建周边命运共同体新篇章（和音）,1,1,0.9916
660,习近平主席今年首次出访具有重大意义,1,1,0.982
662,携手周边国家 共创美好未来,4,4,0.857
664,携手周边国家共创美好未来（和音）,1,4,0.9927
665,中央周边工作会议在北京举行,3,4,0.8759
666,中央周边工作会议在北京举行 习近平发表重要讲话,2,4,0.9534
668,把握习近平经济思想的鲜明实践品格（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,7,0,0.8027
669,“四个革命、一个合作”指引我国能源高质量发展（深学笃行阐释习近平经济思想）,4,2,0.9954
670,亲诚惠容 命运与共（大使随笔）,1,4,0.7676
671,为建设教育强国打头阵、当尖兵,4,3,0.8882
672,为完善全球人权治理贡献中国方案,1,4,0.5918
674,开拓中国特色社会主义政治经济学新境界（深入学习贯彻习近平新时代中国特色社会主义思想·学习《习近平经济文选》第一卷专家谈）,15,0,0.9997
678,朝着建成科技强国的宏伟目标奋勇前进,1,4,0.9732
679,朝着建成科技强国的宏伟目标奋勇前进,1,4,0.9659
680,《求是》杂志发表习近平总书记重要文章《朝着建成科技强国的宏伟目标奋勇前进》,1,4,0.9732
681,“携手打造一个更加繁荣的亚洲命运共同体”（高端访谈）,1,1,0.7435
682,加强文明对话 促进理解信任（聚焦博鳌亚洲论坛2025年年会）,1,1,0.9931
692,在高质量共建“一带一路”中锻造钢铁力量,1,0,0.7091
694,携手迎接挑战 合作开创未来（聚焦博鳌亚洲论坛2025年年会）,1,4,0.7431
697,瞭望·第一学习丨深刻把握进一步全面深化改革的四个特性,7,2,0.7501
698,教育强国成于实干,7,3,0.6211
699,深入学习贯彻习近平经济思想，确保我国经济航船乘风破浪、行稳致远,14,0,0.7899
701,“展现出超越时空的伟大思想魅力”,3,4,0.6607
704,牢牢把握教育的政治属性、人民属性、战略属性  加快建设教育强国（深入学习贯彻习近平新时代中国特色社会主义思想）,8,3,0.7591
705,牢牢把握教育的政治属性、人民属性、战略属性  加快建设教育强国（深入学习贯彻习近平新时代中国特色社会主义思想）,8,3,0.7591
706,彰显思想伟力 推动文明互鉴（人民要论）,15,2,0.9994
709,弄潮儿向涛头立 科技创新的中国答卷,3,3,0.8789
710,三大全球倡议的时代意义和实践伟力（国际论坛）,1,4,0.6733
711,高端访谈丨“2025年全球妇女峰会将为全球妇女发展注入新动力”——访中国代表团团长、国务院妇女儿童工作委员会副主任黄晓薇,2,4,0.9
713,让文明的灯塔照耀人类前行的正道,2,1,0.4951
714,全国人民代表大会常务委员会工作报告,10,2,0.9039
715,让文明的灯塔照耀人类前行的正道,2,1,0.4951
717,政府工作报告,10,0,0.8424
718,以人工智能赋能高质量发展（深入学习贯彻习近平新时代中国特色社会主义思想）,1,0,0.8659
720,中国人民政治协商会议全国委员会常务委员会工作报告,9,2,0.9088
722,科学把握全人类共同价值的丰富内涵和现实指导意义（深入学习贯彻习近平新时代中国特色社会主义思想·原创性概念标识性概念纵横谈）,8,4,0.513
723,解放军和武警部队代表团新闻发言人答记者问,1,0,0.9892
724,中国两会传递稳与进的明确信息,1,3,0.9445
725,全国人民代表大会常务委员会工作报告（摘要）,8,2,0.9227
726,就中国外交政策和对外关系回答中外记者提问,3,1,0.9143
728,把思想和行动统一到党中央对形势的科学判断和决策部署上来 努力完成好全年目标任务,2,0,0.9948
729,李强作的政府工作报告（摘登）,9,0,0.9991
730,坚持好、完善好、运行好人民代表大会制度,2,2,0.9922
733,六方面工作展现人民政协新作为,2,2,0.6221
737,《习近平经济文选》第一卷主要篇目介绍,6,0,0.7562
738,纪念“三八”国际妇女节暨表彰大会在京举行,1,4,0.5676
739,坚持干字当头，确保党中央各项决策部署落到实处（深入学习贯彻习近平新时代中国特色社会主义思想）,12,0,0.7869
740,开放，让各方锚定中国机遇（和音）,3,4,0.7883
743,抢抓人工智能发展的历史性机遇（深入学习贯彻习近平新时代中国特色社会主义思想）,1,0,0.8948
744,抢抓人工智能发展的历史性机遇（深入学习贯彻习近平新时代中国特色社会主义思想）,1,0,0.8948
745,王毅在访问英国、爱尔兰并主持联合国安理会高级别会议、出席慕尼黑安全会议及二十国集团外长会后接受中国媒体采访,1,1,0.9905
746,让“冰天雪地”的热土创造“金山银山”的幸福（深入学习贯彻习近平新时代中国特色社会主义思想）,2,4,0.9927
747,为体育强国建设作出新的贡献（专题深思）,3,3,0.6091
748,让“冰天雪地”的热土创造“金山银山”的幸福（深入学习贯彻习近平新时代中国特色社会主义思想）,2,4,0.9927
749,中国新发展理念为何成为国际公共产品？（读者点题·共同关注）,1,4,0.9847
754,习近平向第38届非洲联盟峰会致贺电,1,1,0.9885
755,习近平向第38届非洲联盟峰会致贺电,1,1,0.9885
761,深刻理解习近平总书记关于发展战略的重要论述（深入学习贯彻习近平新时代中国特色社会主义思想）,4,0,0.5712
762,深刻理解习近平总书记关于发展战略的重要论述（深入学习贯彻习近平新时代中国特色社会主义思想）,4,0,0.5712
765,从“嫦娥奔月”传说到“嫦娥”揽月传奇,11,3,0.9057
766,从“过境免签”看今日中国,1,3,0.9833
767,从“过境免签”看今日中国,1,3,0.9833
771,牢牢把握社会主义文化强国建设的前进方向（深入学习贯彻习近平新时代中国特色社会主义思想）,23,3,0.9995
773,牢牢把握社会主义文化强国建设的前进方向（深入学习贯彻习近平新时代中国特色社会主义思想）,23,3,0.9995
774,中华人民共和国和巴基斯坦伊斯兰共和国联合声明,1,1,0.9922
775,中华人民共和国和文莱达鲁萨兰国关于深化战略合作伙伴关系、推进中文命运共同体建设的联合声明,1,0,0.7176
776,中华人民共和国和吉尔吉斯共和国关于深化新时代全面战略伙伴关系的联合声明,2,1,0.7344
777,赵乐际分别会见吉尔吉斯斯坦总统扎帕罗夫、巴基斯坦总统扎尔达里,1,1,0.9855
778,习近平同吉尔吉斯斯坦总统扎帕罗夫会谈,2,3,0.6709
779,赵乐际分别会见吉尔吉斯斯坦总统扎帕罗夫、巴基斯坦总统扎尔达里,1,1,0.9855
780,习近平同吉尔吉斯斯坦总统扎帕罗夫会谈,2,3,0.6709
782,顺应人民心声和时代潮流的发展理念,1,0,0.9835
783,中国探索全球发展新模式,1,3,0.6238
784,和气致祥 和实生物 和合共生,2,4,0.9931
786,维护世界和平稳定  促进人类发展进步,4,1,0.7144
788,共同书写中国式现代化新篇章,1,0,0.9729
789,中国始终是国际秩序的坚定维护者（访谈录）,1,3,0.7571
791,推动上海合作组织进一步做实、做强（大使随笔·弘扬“上海精神”：上合组织在行动）,1,1,0.9913
800,推动上海合作组织继续走在时代前列（大使随笔·弘扬“上海精神”：上合组织在行动）,1,1,0.9855
807,中华人民共和国和斯里兰卡民主社会主义共和国联合声明,1,2,0.6856
808,推动高质量共建“一带一路”走深走实（国际论坛）,1,4,0.9856
809,习近平同越共中央总书记苏林通电话,1,2,0.7551
810,习近平同越共中央总书记苏林通电话,1,2,0.7551
811,准确全面理解中国脱贫攻坚的世界意义（深入学习贯彻习近平新时代中国特色社会主义思想）,2,3,0.9945
812,准确全面理解中国脱贫攻坚的世界意义（深入学习贯彻习近平新时代中国特色社会主义思想）,2,3,0.9945
825,可靠朋友 真诚伙伴,1,3,0.9882
826,“大金砖合作”不断展现大气象（和音）,1,4,0.56
827,倡导“同球共济” 共创美好未来,1,1,0.8863
829,天下为公，做构建人类命运共同体的参与者（和音）,2,1,0.5386
830,推动文明互鉴 促进相知相亲,1,4,0.9798
832,践行友好合作  展现大国担当,3,1,0.702
835,人类命运共同体研究中心揭牌仪式在北京举行,1,4,0.9826
836,为维护世界和平稳定注入更多正能量,1,4,0.508
